row_id,y_true_tl,y_pred_tl,abs_err_tl,y_true_log,y_pred_log,resid_log
4679,9712999.999999918,3319138.3815452494,6393861.618454669,16.088975855339257,15.015216084862601,-1.0737597704766557
11025,9712999.999999918,3521504.2969209747,6191495.703078943,16.088975855339257,15.074399097332586,-1.0145767580066707
27316,9712999.999999918,3724323.0518410844,5988676.948158834,16.088975855339257,15.130395930736471,-0.9585799246027857
21840,9712999.999999918,3898659.600378271,5814340.399621647,16.088975855339257,15.176143616311851,-0.9128322390274057
833,7900000.000000005,2158832.20066817,5741167.799331835,15.882373444019521,14.585078448832087,-1.2972949951874337
11995,9712999.999999918,4063039.547192106,5649960.452807812,16.088975855339257,15.217442154539095,-0.8715337008001622
4450,9712999.999999918,4271353.401241039,5441646.598758879,16.088975855339257,15.26744152489689,-0.8215343304423666
6983,9712999.999999918,4320630.234261879,5392369.765738039,16.088975855339257,15.278912068588047,-0.8100637867512095
11365,6950000.000000006,1730627.872199031,5219372.127800975,15.754252361425857,14.363995410361866,-1.390256951063991
20529,9712999.999999918,4848220.22497757,4864779.775022348,16.088975855339257,15.394122437905015,-0.694853417434242
1738,9500000.000000015,4756626.514709765,4743373.48529025,16.066802461833923,15.375049469786024,-0.6917529920478991
27329,8625000.000000004,3900356.214896563,4724643.78510344,15.97017563682372,15.176578700468662,-0.7935969363550583
2625,9500000.000000015,5103821.869638114,4396178.130361901,16.066802461833923,15.44550039918005,-0.6213020626538732
26217,8999999.999999996,4809930.522141749,4190069.4778582472,16.012735246411598,15.386193405419636,-0.6265418409919619
18615,9712999.999999918,5689210.115796471,4023789.884203447,16.088975855339257,15.554082152518049,-0.5348937028212077
23826,8999999.999999996,5117540.750045266,3882459.2499547303,16.012735246411598,15.448184754773559,-0.5645504916380393
7604,8999999.999999996,5340180.032702605,3659819.967297391,16.012735246411598,15.490770111616913,-0.5219651347946854
24451,8000000.000000002,4507492.716916249,3492507.2830837527,15.894952224644102,15.321251840141,-0.5737003845031019
22400,9712999.999999918,6305113.818194391,3407886.181805527,16.088975855339257,15.656871737872663,-0.4321041174665936
7775,2400000.000000001,5583146.950624199,3183146.9506241977,14.690979711984754,15.535263324142734,0.8442836121579802
24501,6800000.0,3634429.836967501,3165570.163032499,15.732433317205148,15.105963078139162,-0.626470239065986
12066,4700000.000000004,1622583.115640797,3077416.884359207,15.363073279446223,14.299530569446643,-1.0635427099995791
1360,3750000.0000000023,699016.5570659933,3050983.4429340092,15.137266664613225,13.457431138305365,-1.6798355263078601
13840,5199999.999999999,2178114.4488487104,3021885.5511512887,15.46416937585933,14.59397058788782,-0.8701987879715087
23169,3850000.0000000005,871079.4028019484,2978920.5971980523,15.163583966004193,13.67748956248349,-1.4860944035207027
10085,9712999.999999918,6790389.393019204,2922610.606980714,16.088975855339257,15.731018993172103,-0.3579568621671534
25557,9712999.999999918,6867032.924099222,2845967.075900696,16.088975855339257,15.742242827753596,-0.3467330275856604
16776,4399999.999999997,1595632.625004911,2804367.3749950863,15.29711532616119,14.28278147237176,-1.0143338537894309
19737,4999999.999999999,2290439.799082804,2709560.200917195,15.424948670398354,14.6442548456893,-0.7806938247090542
11110,4000000.0000000005,6674999.127108583,2674999.1271085828,15.201805169084134,15.713879781293072,0.5120746122089379
23738,5750000.000000005,3090026.7231003637,2659973.276899641,15.564710586686562,14.943690620710822,-0.6210199659757407
26233,4250000.000000002,1674929.6581993487,2575070.3418006534,15.26242977619469,14.331282324294438,-0.9311474519002516
8721,5500000.000000001,8051132.443947219,2551132.4439472184,15.520258832020865,15.901323439973625,0.3810646079527604
12499,6449999.999999996,3994081.2461254713,2455918.753874525,15.679590843810702,15.200324385165874,-0.47926645864482786
2321,4949999.999999997,2516993.973294719,2433006.026705278,15.414898336565054,14.738576277013639,-0.6763220595514152
6016,3499999.9999999995,5869623.000604829,2369623.0006048293,15.068273812173887,15.585301135341265,0.5170273231673779
10193,9712999.999999918,7345841.335293859,2367158.664706059,16.088975855339257,15.809645042470637,-0.27933081286862027
17450,3900000.000000001,1564868.2098604802,2335131.7901395205,15.176487367510099,14.263312806489925,-0.913174561020174
18376,9712999.999999918,7407523.010151989,2305476.989847929,16.088975855339257,15.818006799754606,-0.2709690555846507
20604,6000000.0,3701445.2927973852,2298554.7072026148,15.607270193858982,15.12423419118212,-0.48303600267686164
11702,6000000.0,3714596.8494444047,2285403.1505555953,15.607270193858982,15.127780979788461,-0.4794892140705205
5458,1249999.999999999,3529645.1016492513,2279645.101649252,14.038654909278163,15.076708169393365,1.038053260115202
19512,3750000.0000000023,6020440.959327276,2270440.9593272735,15.137266664613225,15.610671229760886,0.4734045651476606
5923,4309999.999999996,2042674.6120677239,2267325.3879322726,15.276448694098464,14.52977108100084,-0.7466776130976243
15027,3799999.9999999995,6024972.846595829,2224972.84659583,15.150511887854474,15.611423696517601,0.460911808663127
26682,5500000.000000001,3280346.4027964263,2219653.5972035746,15.520258832020865,15.003459890238393,-0.5167989417824721
17282,3299999.9999999986,5511393.302945454,2211393.302945455,15.009433329466965,15.522328198653844,0.5128948691868782
14165,2950000.000000002,5155646.066054759,2205646.0660547568,14.897316067298997,15.455603189584048,0.5582871222850514
5295,2150000.0,4352684.924812498,2202684.9248124976,14.580978865220017,15.286303666498474,0.7053248012784579
20757,7500000.000000002,5298342.126791224,2201657.873208778,15.830413711839864,15.482904712060725,-0.34750899977913896
